Record;Event;Author;Recipient/dedicatee information;Recipient/dedicatee;Title;Printer;Printer information;Place;Summary;Other places quoted by the printer;Year;Language;Form (prose/verses/mixed);Identifier in USTC;Reference copy-ies;Digitised copy link;Related images and documents;Additional notes;Analaytic tags;Private notes
P-1638-CA-0A92;1638 Calabria Earthquake;Madera, Alonso de la ;A N.M.R.P.M. fray Joseph de Perlines, provincial de España, de la Orden de Predicadores y calificador del Santo Oficio de la Inquisición;;A / santo Domingo Soriano, milagroso en su divina imagen;;En la imprenta de San Pablo de Valladolid;Valladolid;It includes a description of the events at Soriano after the 1638 earthquake.;;1640;Spanish;Prose;;Madrid, Biblioteca Nacional de España VE/1361/16;;P-1638-CA-0A42 / 1638 Calabria Earthquake / Copia de una carta, que el Padre Prior del Convento de Santo Domingo de Soriano, escrivió al Reverendíssimo General de la Orden de Predicadores, a Roma, acerca de un Milagro notable, que en la villa de Soriano obró Dios nuestro Señor por nuestro Padre Santo Domingo, y aquella Imagen, en la ocasión de los espantosos temblores y terremotos, que entonces huvo en Italia, en este año de 1638. La qual remitió el muy Reverendo Padre Provincial de Anglia, Compañero del Reverendíssimo General, al Convento de Santo Domingo el Real de la villa de Madrid (This document summarizes);;COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento;Foto Beatriz
P-1638-SM-011B;1638 San Miguel Eruption;;;;Prodigioso volcán de fuego que exhala en medio del mar océano enfrente de la isla de San Miguel, una de las Terceras, y nueva isla que ha formado: tuvo principio en 3 de iulio deste presente año de 1638, sacada del original impresso en Madrid y aora de nuevo;"Matevad, Sebastian; Matevad, Jaime";En casa Sebastián y Iayme Matevad;Barcelona;;;1638;Spanish;Prose;5021335;Madrid, Biblioteca Nacional de España R/12212(21);http://bdh-rd.bne.es/viewer.vm?id=0000064617&page=1;"I-1638-SM-02BC / 1638 San Miguel Eruption / T and O map (Orbis Terrarum); Infernal Scene with Human Figures burning (This document includes)";;;
P-1638-SM-011C;1638 San Miguel Eruption;;;;Prodigioso volcán de fuego, que exhala en medio del mar oceano, enfrente de la isla San Miguel, una de las Terceras, y nueva isla que ha formado, tuvo principio en tres de iulio deste presente año de 1638;Martínez, Francisco;En la imprenta de Francisco Martínez;Madrid;;;1638;Spanish;Prose;5013671;Madrid, Biblioteca Nacional de España MSS/2369;http://bdh-rd.bne.es/viewer.vm?id=0000257009&page=1;I-1638-SM-02BD / 1638 San Miguel Eruption / Formation of the Island of San Michele (This document includes);;;
P-1640-LL-011D;1640 Llaima Eruption;Rosales, Diego de;Dedicada al Rey de España D. Carlos II N.S.;Charles II;Historia general de el reyno de Chile. Flandes indiano. Por el R. P. Diego de Rosales de la Compañía de Jesús, dos veces V. provincial de la V. provincia de Chile, calificador del Santo Officio de la Inquisición y natural de Madrid. Dedicada al rey de España D. Carlos II N. S, vol. 1;;Imprenta del Mercurio;Valparaiso;;;1877;Spanish;Prose;Null;Santiago de Chile, Biblioteca Nacional LCH 09;http://www.memoriachilena.gob.cl/602/w3-article-8023.html;;I dettagli sull'eruzione sono a pagina 203 e 204. Rosales si riferisce al vulcano Llaima come Aliante'. A p. 205: riferimenti anche al terremoto di Santiago del Cile del 13 maggio 1647. L'opera di de Rosales fu finita dal gesuita nel 1674 ma pubblicata solamente nel XIX secolo.';;
P-1640-LL-011E;1640 Llaima Eruption;Ovalle, Alonso de;;;Histórica relación del Reyno de Chile y de las missiones y ministerios que exercita en la Compañía de Jesús a Nuestro Señor Jesú Christo Dios hombre y a la Santíssima Virgen y Madre María señora del cielo, y de la tierra y a los santos Joseph, Joachín, Ana sus Padres y Abuelos;Caballo, Francisco;En Roma por Francisco Caballo;Rome;;;1646;Spanish;Prose;5031618;Santiago de Chile, Biblioteca Nacional Ps.B. I-52(44);http://www.memoriachilena.gob.cl/602/w3-article-8380.html;;Per Related: Incisione sull'eruzione del vulcano Llaima (chiamato Villarica da Ovalle), fra le pagine 302 e 303. ->MILENA;;
P-1641-CA-011F;1641 Caracas Earthquake;Torre Bohorques, Francisco de la;;"Consejo de Indias; Philip IV";Memorial de Fr. Francisco de la Torre Bohorques (OFM) sobre el terremoto de 1641 en Caracas;;;;;;1641;Spanish;Prose;Null;Madrid, Biblioteca Nacional de España Mss. 3048, f. 203r-204v;http://bdh-rd.bne.es/viewer.vm?id=0000023097&page=1;;It's in the manuscript Colección de documentos referentes a la historia eclesiástica y civil de América española, vol. 3, compiled by Juan Díez de la Calle. The Bohorques' printed text has no title. This is a modern attribution. It is placed on pages 203r-204v. In the text, the franciscan friar de la Torre Bohorques asks for economic aids to the King in order to rebuild the San Francisco convent. He giustifies his request on the grounds that there was no other religious order in Venezuela that taught Science or Grammar.';;
P-1641-CA-0A03;1641 Caracas Earthquake;Escoto, Bartolomé de;;;"Letter to the King of Spain about the damage caused by the earthquake; request for help from the dean of the cathedral";;;Madrid;;;1648;Spanish;Prose;;Seville, Archivo General de Indias Santo Domingo, 220;;;;;segnalata da Rogelio Altez, 'Impresos sobre terremotos en la Hispanoamérica del siglo XVII. Relaciones de sucesos entre la verdad y la fe', in Historiar la catástrofe (2020)
P-1642-SE-0120;1642 Seville Flood;;;;Relación de lo sucedido en la inundación y avenida del río de Sevilla, por enero de este año de 1642;Lyra, Francisco de;Francisco de Lyra;Seville;;;1642;Spanish;Prose;5038154;Madrid, Biblioteca Nacional de España VE/170/32;;;;;Foto Schiano
P-1643-TR-0121;1643 Troina Earthquake;Randelli, Silvestro;;;Relación de los terremotos que han sucedido en la ciudad de Traina este año de 1643: y los efectos que han causado en las circunvezinas, en la forma siguiente;Díaz, Diego;Por Diego Díaz;Madrid;;;1643;Spanish;Prose;5005032;Madrid, Biblioteca Nacional de España VE/1346/1;http://bdh-rd.bne.es/viewer.vm?id=0000254847&page=1;;;;Foto Schiano
P-1643-ZA-0122;1643 Zaragoza Flood;Eusa y Escarate, Pablo;Al excelentísimo Señor Marqués de Almonacir y Conde de Pavías;;Copia de carta escrita por Don Pablo de Eusa y Escarate al excelentísimo Señor Marqués de Almonacir, y Conde de Pavías, en que le refiere la venida, e inundación del río Ebro, y el daño que a hecho a la ciudad de Zaragoça;Gómez de Blas, Juan;Por Juan Gómez de Blas;Seville;;;1643;Spanish;Prose;5021645;Seville, Biblioteca de la Universidad de Sevilla A 112/043(5 bis);https://archive.org/details/A11204305bis;;;;
P-1645-MA-0A3C;1645 Manila Earthquake;Mazzara, Benedetto;;;Leggendario / francescano overo Istorie de Santi, Beati, Venerabili, ed altri Uomini / illustri, che fiorirono nelli tre Ordini istituiti dal Serafico Padre San / Francesco Raccolto, e disposto secondo i giorni de Mesi in quattro Tomi dal / Padre F. Benedetto Mazzara Minore Riformato et in questa terza Impressione più / corretto, per l’aggiunta di nuove Vite ridotto in dodici tomi dal padre Pietr’Antonio / di Venezia dello stesso ordine, e Riforma.;Lovisa, Domenico;Per Domenico Lovisa;Venice;The story of Fra Francesco di S. Nicola is recalled, who was miraculously saved, together with the nuns entrusted to him, during an earthquake in Manila.;;1721;Italian;Prose;;Lyon, Bibliothèque jésuite des Fontaines SJ V 221/101-106;https://books.googleusercontent.com/books/content?req=AKW5QacmLh6N9KwMK_DFx2jIfqnKUMU033DRkVw_NivxGeDhHL-VZW2HJyCALItD0i0KZan9p5DIVunJ3NVezzsB9XQv1x9aUDCgOeiY5-KxKXBoYc1vkNFXK1pKw6AK5rTLCvRjBVleG2BzJ6hYkGUgmznQjpqSFMH0NiDBFu3k12P7f7wR5mUhGgzYa7NMAmaOscD7i;;;TOPOI DELLA NARRAZIONE→Rovine;
P-1646-GA-0127;1646 Gargano Earthquake;Battista, Domenico;;;Terra tremuit, in Id. Dominici Baptistae Epigrammata;Pinelli, Giovan Pietro;Ex Typographia Pinelliana;Venice;;;1653;Latin;Verse;Null;Naples, Biblioteca Nazionale Vittorio Emanuele III V.F. 113 A 57;https://play.google.com/books/reader?id=Nimp01ZkEAgC&hl=it&pg=GBS.PA1;;La pagina recante il sonetto è indicata come 37.;TOPOI DELLA NARRAZIONE→Relazione tra eventi terreni e divini;
P-1646-PA-0123;1646 La Palma Eruption;Inclán y Valdés, Alonso de;A su magestad;Philip IV;Copia de una carta que don Alonso de Yclán y Valdés, governador de Tenerife y la Palma, escrivió a su magestad, dándole cuenta de los bolcanes que rebentaron en la dicha isla;Paredes, Alonso de;Alonso de Paredes;Madrid;;;1647;Spanish;Prose;5016030;Madrid, Biblioteca Nacional de España VE/1346/1;;;;;Foto Schiano
P-1646-PA-0124;1646 La Palma Eruption;Inclán y Valdés, Alonso de;A su magestad;Philip IV;Copia de una carta que don Alonso de Yclán y Valdés, governador de Tenerife y la Palma, escrivió a su magestad, dándole cuenta de los bolcanes que rebentaron en la dicha isla;Nogués, Bernardo;En casa de los herederos de Chrysóstomo Garriz, por Bernardo Nogués, junto al molino de Rovella;Valencia;;;1647;Spanish;Prose;5016030;Madrid, Biblioteca Nacional de España VE/182/24;;;;;Foto Schiano
P-1646-PA-0125;1646 La Palma Eruption;Inclán y Valdés, Alonso de;A su magestad;Philip IV;Copia de una carta que don Alonso de Yclán y Valdés, governador de Tenerife y la Palma, escrivió a su magestad, dándole cuenta de los bolcanes que rebentaron en la dicha isla;Gómez de Blas, Juan;Por Juan Gómez de Blas;Seville;;;1647;Spanish;Prose;5016030;Cordoba, Biblioteca Provincial 3/89(22);http://www.bibliotecavirtualdeandalucia.es/catalogo/catalogo_imagenes/grupo.cmd?path=1002581;;;;
P-1646-PA-0126;1646 La Palma Eruption;Inclán y Valdés, Alonso de;a S.M. Cattolica;Philip IV;Copia di lettera di Alonso de Yclám y valdés Governatore dell'isola di Tenerife e di La Palma scritta a S.M. Cattolica, dandoli conto delli vulcani in quelle isole e fiumi di fuoco che correvano fino nel Mare;"Malatesta, Giovanni Battista; Malatesta, Giulio Cesare";"Giovanni Battista &amp; Giulio Cesare Malatesta";Milan;;;1648;Italian;Prose;4019159;Milan, Biblioteca Nazionale Braidense ;;;Traduzione del testo pubblicato nelle edizioni spagnole;;Foto Schiano
P-1647-SA-0128;1647 Santiago Earthquake;Villarroel, Gaspar de;;;Relación del terremoto que assoló la ciudad de Santiago de Chile;;;Madrid;;;1647;Spanish;Prose;5035204;Oxford, Bodleian Library Arch. Seld. A subt. 19 (28);;;NON SI è CONSULTATO. L'INFORMAZIONE PRECISATA è TRATTA DA USTC;;
P-1647-SA-0129;1647 Santiago Earthquake;Villarroel, Gaspar de;Al Rey Nuestro Señor en su supremo Real Consejo de las Indias;Philip IV;Govierno eclesiástico pacífico y unión de los dos cuchillos, pontificio y regio, segunda parte, por el doctor Don Fray Gaspar de Villarroel, de la orden de San Agustín, obispo de Santiago de Chile, y al presente de la Santa Iglesia de Arequipa, en los reynos, y provincias del Perú del Consejo de su Magestad;García Morrás, Domingo;Por Domingo Garcia Morrás, impressor de libros;Madrid;;;1657;Spanish;Prose;Null;Florence, Biblioteca Nazionale Centrale MAGL. 2.7.162 0002;https://books.google.it/books?id=1Hlt_BtkBikC&hl=it&source=gbs_navlinks_s;;La dedica completa dice così: Al rey nuestro senor en su supremo Real Consejo de Indias')';;NON CONSULTATO. Per Related: Contiene a pp. 648-655  la Relacion del terremoto que assolo la ciudad de Santiago de Chile, en los Reinos del Perù, dispuesta por el Doctor Don Fray Gaspar de Villaroel, Obispo de la misma Ciudad, en carta al Excelentissimo senor Don Garcia de Haro y Avellaneda, Conde de Castrillo, Gentilhombre de la Camara de su Magestad, de sus Consejos ed Estado, Iusticia, y Camara de Castilla, y Presidente en el Supremo de las Indias,  pubblicata nel 1647.
P-1647-SA-012A;1647 Santiago Earthquake;González Chaparro, Juan;Para el P. Alonso de Ovalle;Ovalle, Alonso de;Carta del P. Iuan González Chaparro de la Compañia de Iesús, y de la vice-provincia de Chile, para el P. Alonso de Ovalle y del Manzano de la misma compañía, Procurador General de Roma, en que le da cuenta del lastimoso sucesso del terremoto que huvo en la ciudad de Santiago de Chile en Indias;Díaz de la Carrera, Diego;Por Diego Díaz de la Carrera;Madrid;;;1648;Spanish;Prose;5025069;Madrid, Biblioteca Nacional de España Mss/2379;http://bdh-rd.bne.es/viewer.vm?id=0000254906&page=1;P-1647-SA-063B / 1647 Santiago Earthquake / Coronica de la religiosissima provincia de los doze / apostoles del Peru, de la orden de N.P. S. Francisco  de la regular / observancia ... (This document is included in);Quest'edizione è citata in USTC ma il titolo cambia di poco (Santiago de Indias' invece che Santiago de Chile en Indias'). Su USTC si dice che ci sono 6 esemplari ma non riferisce quello della Biblioteca Nazionale di Madrid, che si trova presso la Biblioteca Digital';;
P-1647-SA-012B;1647 Santiago Earthquake;González Chaparro, Juan;;;Relación del gran terremoto, o temblor de tierra que assoló toda la Ciudad de Chile en el nuevo mundo sin dexar templos, casas fuertes, ni edificios, que en menos de un quarto de hora no derribasse por el suelo. Escrita por el P. Iuan Gonçález Chaparro de la Compañía de Iesús;Lyra, Francisco de;Por Francisco de Lyra;Seville;;;1648;Spanish;Prose;5038186;Seville, Biblioteca Capitular y Colombina 61-5-8---024;https://www.bidiso.es/CBDRS/ediciones/BDRS0000692/3633/ejemplar/2038;;;;
P-1647-SA-012C;1647 Santiago Earthquake;González Chaparro, Juan;All'Illustrissimo e Reverendissimo Sig. e Padrone sempre colendiss. Mons. Francesco Mascabruni;Mascambruni, Francesco;Lettera del P. Gio. Gonzalez Ciaparro della Compagnia di Giesù scritta al P. Alonso d'Ovaglie del Manzano dela medesima Compagnia, Procuratore della vice-provincia del Cile nell'Indie Occidentali ove s'intendono casi stravagantissimi del terremoto ivi seguito alli 13 di maggio 1647;Grignani, Lodovico;Nella Stamperia di Lodouico Grignani;Rome;;;1648;Italian;Prose;4019513;"Rome, Biblioteca Casanatense VOL MISC.387 17; Rome, Biblioteca Nazionale Centrale MISC. B.499.7; Naples, Biblioteca della Società Napoletana di Storia Patria SISMICA MISC. 068 (8";https://books.google.es/books?id=isOfFsOa0kQC&printsec=frontcover&hl=ca&source=gbs_ViewAPI&redir_esc=y#v=onepage&q&f=false;"I-1647-SA-02BE / 1647 Santiago Earthquake / City View from the Sea (This document includes); P-1647-SA-012E / 1647 Santiago Earthquake / Lettera ove s'intendono casi stravagantissimi del terremoto ivi seguito alli 13 di maggio 1647 (Very similar to)";;;Il dedicatario è quello indicato dal traduttore, Antonio Gerardi. Una copia a stampa di questa lettera la troviamo in una lettera annua gesuita (manoscritta) del ARSI. CREARE UN RIMANDO ALLA LETTERA ANNUA DEL DATABASE DI MANOSCRITTI
P-1647-SA-012D;1647 Santiago Earthquake;Ríos, Friar Juan de los;A la protección del Excelentísimo Señor Marqués de Mancera, Virrey de los Reinos del Perú;Álvarez de Toledo y Leiva, Pedro (Marquis of Mancera, viceroy of Perú);Acción de gracias, prevención de penitencias y enmienda de culpas. Fiestas que celebró esta ciudad de los Reyes, al santíssimo Sacramento del Altar, dirección de sus dos catálicos príncipes, secular, y eclesiástico, por averla librado misericordiosamente Dios de tres repetidos temblores que le amagaron, en ocasión, que arruinada  con uno la de Santiago de Chile, dava motivos a estos christianos reconocimientos que mostraron todas sus religiones;;Imprímelo el Capitan d. Álvaro de los Ríos y Berriz, Alcalde Ordinario de ella, su hermano;Lima;;;1648;Spanish;Prose;5027590;Madrid, Biblioteca Nacional de España R/14210(9);http://bdh-rd.bne.es/viewer.vm?id=0000115169&page=1;;Imprimelo el Capitan d. Alvaro de los Rios y Berriz, Alcalde Ordinario de ella, su hermano;;
P-1647-SA-012E;1647 Santiago Earthquake;González Chaparro, Juan;;;Lettera ove s'intendono casi stravagantissimi del terremoto ivi seguito alli 13 di maggio 1647;;Nella Stamperia arcivescovile;Milan;;;1648;Italian;Prose;4019161;Milan, Biblioteca Nazionale Braidense IT-MI0185 GG. 03. 0048/04;;P-1647-SA-012C / 1647 Santiago Earthquake / Lettera del P. Gio. Gonzalez Ciaparro della Compagnia di Giesù scritta al P. Alonso d'Ovaglie del Manzano dela medesima Compagnia, Procuratore della vice-provincia del Cile nell'Indie Occidentali ove s'intendono casi stravagantissimi del terremoto ivi seguito alli 13 di maggio 1647 (Very similar to);"ESEMPLARE NON CONSULTATO. USTC RIFERISCE CHE IL LUOGO DI STAMPA è MILANO. INVECE SUL CATALOGO DELLA BIBLIOTECA NAZIONALE BRAIDENSE SI SPECIFICA ANCHE ROMA. BISOGNEREBBE CONSULTARE IL TESTO PER CAPIRNE DI PIù&nbsp;<br><br>Valentina: è una ristampa milanese dell'edizione romana, edita dalla stamperia arcivescovile, così come indicato nel frontespizio riportato dai cataloghi (ma non so come inserire il printer)";;
