Record;Event;Archive;Author/sender;Recipient;Date of writing;Start point;Date of receipt;End point;Summary;Language;Related images or documents;Other Events;Link;Analytic tags;Private notes
M-1447-BA-08B2;1447 Barcelona Flood;Barcelona, Arxiu Històric de la Ciutat, Dietari de l'Antic Consell Barceloní, 1B. XXV-10;Consell de Cent;;1447;Barcelona;;;The great floods of the Llobregat and Besós rivers cause the collapse of the bridges that are there to reach Barcelona, the death of many cattle drowned in the waters and several shipwrecks of boats located near the mouth of these two rivers.;;;;;;
M-1468-PE-09C3;1468 Pozzuoli Earthquake;Naples, Archivio di Stato di Napoli, Museo, Miscellanea, 99.A, n. 5, ff. 7r-9r;Ferdinand of Aragon;Università of Pozzuoli;1472;Naples;;;Fiscal privilege in the form of a tax suspension granted by the King of Naples to the Università di Pozzuoli. The grace made it clear that the Pozzuoli community's urban buildings and agricultural properties had been damaged by continuous Earthquakes and gaseous exhalations from the Solfatara in previous years. The gracious resolution appealed for distributive justice in favour of the deserving subjects affected by the calamity, which would remedy the expressed intention of the community to leave and abandon the walled city.;Latin;;;;RISPOSTE ISTITUZIONALI→Sgravi fiscali;
M-1468-PE-09C4;1468 Pozzuoli Earthquake;Naples, Biblioteca Nazionale Vittorio Emanuele III, MS Brancacciano II F 6, Notar Iacobo, Cronica di Napoli, paragraph 175;Iacobo, Notar;;1494;Naples;;;Chronicle of Notar Iacobo reporting an Earthquake felt in Naples on 25 May 1469.;Italian;;;;MEMORIA / PASSATO E PRESENTE→Cronologia con altri eventi;
M-1468-PE-09C5;1468 Pozzuoli Earthquake;Naples, Biblioteca della Società Napoletana di Storia Patria, Manoscritti, XXVIII.B.3, Notamenti cavati dalle scritture di Antonio d’Afeltro;Afeltro, Antonio de;;1662;Naples;;;Chronicle by Antonio d'Afeltro reporting an Earthquake felt in Naples on 26 May 1468.;Italian;;;;MEMORIA / PASSATO E PRESENTE→Cronologia con altri eventi;
M-1497-PE-09CE;1497 Pozzuoli Earthquake;New York, Pierpont Morgan Library, MS. M 801, paragraph 222;Ferraiolo;;1492;Naples;;;Ferraiolo's chronicle indicates how an Earthquake in March 1497 caused serious damage to the territory and the episcopate of Pozzuoli.;Italian;;;;;
M-1497-PE-09CF;1497 Pozzuoli Earthquake;Naples, Biblioteca Nazionale Vittorio Emanuele III, MS Brancacciano II F 6, Notar Iacobo, Cronica di Napoli;Iacobo, Notar;;1494;Naples;;;Notar Giacomo's chronicle indicates that an Earthquake in March 1499 (the date is probably 1497) was felt in Naples without causing any damage. Processions were organised in response.;Italian;;;;COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento;
M-1498-PE-09D0;1498 Pozzuoli Earthquake;Mantua, Archivio di Stato di Mantova, Archivio Gonzaga, b. 852, ff. 407r, 412 r;Lucido Cattaneo, Giovanni (Gonzaga diplomatic agent in Rome);Gonzaga, Francesco II (Marquis);1498;Rome;;Mantua;Diplomatic correspondence testifying to the fear that the great and dangerous Earthquake swarm caused in October 1498 in Pozzuoli and Naples, where it caused damage.;Italian;;;;FORME PARTICOLARI DI RAPPRESENTAZIONE/NARRAZIONE→Orrore, meraviglia;
M-1498-PE-09D1;1498 Pozzuoli Earthquake;Milan, Archivio di Stato di Milano, Sforzesco, Carteggio estero, Napoli, b. 1244;Casati, Francesco (Sforza's diplomatic agent in Naples);Sforza, Ludovico Maria (Duke of Milan);1498;Naples;;Milan;Diplomatic correspondence testifying to the Earthquake that caused damage in Pozzuoli and was felt in Naples in October 1498.;Italian;;;;;
M-1500-BA-08B6;1500 Barcelona Flood;Barcelona, Arxiu Històric de la Ciutat, Dietari de l'Antic Consell Barceloní, 1B. XXV-15;Consell de Cent;;1500;Barcelona;;;A great storm that fell at dawn causes great flooding throughout the plain of Barcelona, remaining as a large lake. The force of the waters endangers the portals of the north of the city.;Catalan;;;;;
M-1504-SE-07AE;1504 Seville Earthquake;Seville, Biblioteca Capitular y Colombina, 59-1-5;Unknown;;;;;;Title: Temblor de tierra. It's a transcription of two reports of the Seville Earthquake of 1504 plus one of the Andalusia Earthquake of 1680;Spanish;;1680 Andalusia Earthquake;;;
